
Status  Name                                                   DisplayName                                             
------  ----                                                   -----------                                             
Stopped AarSvc_2f02ac1                                         Agent Activation Runtime_2f02ac1                        
Stopped AJRouter                                               Služba směrovače AllJoyn                                
Stopped ALG                                                    Brána aplikační vrstvy                                  
Stopped AppIDSvc                                               Identita aplikace                                       
Running Appinfo                                                Informace o aplikaci                                    
Stopped AppReadiness                                           Připravenost aplikací                                   
Running AppXSvc                                                AppX Deployment Service (AppXSVC)                       
Running AudioEndpointBuilder                                   Koncové vytváření služby Windows Audio                  
Running Audiosrv                                               Zvuk systému Windows                                    
Stopped autotimesvc                                            Mobilní čas                                             
Stopped AxInstSV                                               Instalační program ovládacích prvků ActiveX (AxInstSV)  
Stopped BcastDVRUserService_2f02ac1                            Uživatelská služba pro GameDVR a vysílání her_2f02ac1   
Stopped BDESVC                                                 Služba BitLocker Drive Encryption                       
Running BFE                                                    Služba BFE (Base Filtering Engine)                      
Stopped BITS                                                   Služba inteligentního přenosu na pozadí                 
Stopped BluetoothUserService_2f02ac1                           Služba pro podporu uživatelů Bluetooth_2f02ac1          
Running BrokerInfrastructure                                   Služba infrastruktury úloh na pozadí                    
Stopped Browser                                                Prohledávání počítačů                                   
Stopped BTAGService                                            Služba brány zvuku pro Bluetooth                        
Running BthAvctpSvc                                            Služba AVCTP                                            
Stopped bthserv                                                Služba pro podporu technologie Bluetooth                
Running camsvc                                                 Služba Capability Access Manager                        
Stopped CaptureService_2f02ac1                                 CaptureService_2f02ac1                                  
Running cbdhsvc_2f02ac1                                        Uživatelská služba schránky_2f02ac1                     
Running CDPSvc                                                 Služba platformy připojených zařízení                   
Running CDPUserSvc_2f02ac1                                     Uživatelská služba platformy připojených zařízení_2f0...
Stopped CertPropSvc                                            Šíření certifikátů                                      
Stopped ClipSVC                                                Služba pro klientské licence (ClipSVC)                  
Stopped COMSysApp                                              Systémová aplikace modelu COM+                          
Stopped ConsentUxUserSvc_2f02ac1                               ConsentUX_2f02ac1                                       
Running CoreMessagingRegistrar                                 CoreMessaging                                           
Stopped CredentialEnrollmentManagerUserSvc_2f02ac1             CredentialEnrollmentManagerUserSvc_2f02ac1              
Running CryptSvc                                               Šifrování                                               
Running DcomLaunch                                             Spouštěč procesů serveru DCOM                           
Stopped defragsvc                                              Optimalizace jednotek                                   
Stopped DeviceAssociationBrokerSvc_2f02ac1                     DeviceAssociationBroker_2f02ac1                         
Running DeviceAssociationService                               Služba přidružování zařízení                            
Stopped DeviceInstall                                          Služba instalace zařízení                               
Stopped DevicePickerUserSvc_2f02ac1                            DevicePicker_2f02ac1                                    
Stopped DevicesFlowUserSvc_2f02ac1                             Tok zařízení_2f02ac1                                    
Stopped DevQueryBroker                                         DevQuery Background Discovery Broker                    
Running Dhcp                                                   Klient DHCP                                             
Stopped diagnosticshub.standardcollector.service               Standardní služba sběru dat pro Centrum diagnostiky M...
Stopped diagsvc                                                Diagnostic Execution Service                            
Running DiagTrack                                              Propojená uživatelská prostředí a telemetrie            
Running DispBrokerDesktopSvc                                   Služba pro zobrazení zásad                              
Stopped DisplayEnhancementService                              Služba pro vylepšení zobrazení                          
Stopped DmEnrollmentSvc                                        Služba zápisu při správě zařízení                       
Stopped dmwappushservice                                       Služba směrování nabízených zpráv WAP (Wireless Appli...
Running Dnscache                                               Klient DNS                                              
Running DoSvc                                                  Optimalizace doručení                                   
Stopped dot3svc                                                Wired AutoConfig Service                                
Running DPS                                                    Služba DPS (Diagnostic Policy Service)                  
Stopped DsmSvc                                                 Správce instalace zařízení                              
Stopped DsSvc                                                  Služba sdílení dat                                      
Running DusmSvc                                                Využití dat                                             
Stopped Eaphost                                                Protokol EAP (Extensible Authentication Protocol)       
Stopped edgeupdate                                             Microsoft Edge Update Service (edgeupdate)              
Stopped edgeupdatem                                            Microsoft Edge Update Service (edgeupdatem)             
Stopped EFS                                                    Systém souborů EFS (Encrypting File System)             
Stopped embeddedmode                                           Vložený režim                                           
Stopped EntAppSvc                                              Služba Správa aplikací pro rozlehlé sítě                
Running EventLog                                               Protokol událostí systému Windows                       
Running EventSystem                                            Systém událostí COM+                                    
Stopped Fax                                                    Fax                                                     
Running fdPHost                                                Hostitel poskytovatele rozpoznávání funkce              
Running FDResPub                                               Publikování prostředků rozpoznávání funkcí              
Stopped fhsvc                                                  Služba Historie souborů                                 
Running FontCache                                              Mezipaměť písem Windows                                 
Stopped FrameServer                                            Windows Camera Frame Server                             
Stopped FvSvc                                                  NVIDIA FrameView SDK service                            
Stopped gpsvc                                                  Klient zásad skupiny                                    
Stopped GraphicsPerfSvc                                        GraphicsPerfSvc                                         
Running hidserv                                                Služba Zařízení standardu HID                           
Stopped HvHost                                                 Hostitelská služba HV                                   
Running ICEsoundService                                        ICEsound Service                                        
Stopped icssvc                                                 Služba mobilní hotspot systému Windows                  
